Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"PF27","OffPage","Power_Switch","5","SCHEMATIC1","R98.2","240","1100","5B","1"
"PF27","OffPage","Interface","1","SCHEMATIC1","U7.76","790","990","3B","5"
"5V_BRD","OffPage","Power","4","SCHEMATIC1","C33.1,C34.1,C35.1,C38.1,C39.1,C40.1,C41.1,IC6.8,IC6.9,R28.2,R38.2,R39.1,R40.1,R46.1,U3.4","170","310","5D","Property Not Present"
"USB2DN/PRT_DIS_6_P","OffPage","Interface","1","SCHEMATIC1","U7.41","1350","1080","2B","3"
"USB2DN/PRT_DIS_6_P","OffPage","Downstream_Ports","3","SCHEMATIC1","J6.3","1570","1170","2A","1"
"PF4","OffPage","Interface","1","SCHEMATIC1","U7.45","790","820","3B","3"
"PF4","OffPage","Downstream_Ports","3","SCHEMATIC1","Q13.1,R56.2","140","580","5C","1"
"USB3DN_RX3_N","OffPage","Interface","1","SCHEMATIC1","U7.40","1350","910","2B","3"
"USB3DN_RX3_N","OffPage","Downstream_Ports","3","SCHEMATIC1","J3.5","1480","440","2C","1"
"PF13","OffPage","Power_Switch","5","SCHEMATIC1","R88.2","250","660","5C","1"
"PF13","OffPage","Interface","1","SCHEMATIC1","U7.56","790","910","3B","5"
"USB2DN/PRT_DIS_3_P","OffPage","Interface","1","SCHEMATIC1","U7.34","1350","840","2B","3"
"USB2DN/PRT_DIS_3_P","OffPage","Downstream_Ports","3","SCHEMATIC1","J3.3","1480","420","2C","1"
"USB3DN_RX4_N","OffPage","Interface","1","SCHEMATIC1","U7.86","1350","1010","2B","3"
"USB3DN_RX4_N","OffPage","Downstream_Ports","3","SCHEMATIC1","J4.5","1540","730","2C","1"
"USB3DN_RX2_N","OffPage","Interface","1","SCHEMATIC1","U7.33","1350","810","2B","3"
"USB3DN_RX2_N","OffPage","Downstream_Ports","3","SCHEMATIC1","J2.5","1510","150","2D","1"
"USB3DN_TX1B_N","OffPage","Interface","1","SCHEMATIC1","U7.17","1350","690","2C","3"
"USB3DN_TX1B_N","OffPage","Downstream_Ports","3","SCHEMATIC1","C50.1,C50.2,U4.B2","580","300","4D","1"
"PF5","OffPage","Interface","1","SCHEMATIC1","U7.46","790","830","3B","3"
"PF5","OffPage","Downstream_Ports","3","SCHEMATIC1","C45.1,C45.2,C46.2,C47.2,C53.2,C54.2,C55.2,C57.2,C58.2,C61.1,C64.2,C65.1,C68.2,C69.1,C70.2,C71.1,C72.2,C73.1,D9.2,J2.4,J2.7,J2.S2,J3.4,J3.7,J3.S2,J4.4,J4.7,J4.S2,J5.4,J6.4,Q11.2,Q13.2,Q8.2,R50.1,R50.2,R51.1,R52.1,R56.1,R61.1,R62.1,R63.2,R64.1,R65.2,R66.1,R67.2,R68.1,R69.2,R70.1,R71.2,U4.25,U4.A1,U4.A12,U4.B1,U4.B12","250","290","5D","1"
"USB2DN/PRT_DIS_4_P","OffPage","Interface","1","SCHEMATIC1","U7.81","1350","940","2B","3"
"USB2DN/PRT_DIS_4_P","OffPage","Downstream_Ports","3","SCHEMATIC1","J4.3","1570","710","2C","1"
"USB3DN_RX1A_N","OffPage","Interface","1","SCHEMATIC1","U7.11","1350","660","2C","3"
